60000	60002	60000	60001
60001	60003	60001	60002
60002	60004	60002	60003
60003	60005	60003	60004
60004	60006	60004	60005
60005	60007	60005	60006
60006	60008	60006	60007
60007	60009	60007	60008
60008	60010	60008	60009
60009	60011	60009	60010
60010	60012	60010	60011
60011	60013	60011	60012
60012	60014	60012	60013
60013	60015	60013	60014
60014	60016	60014	60015
60015	60017	60015	60016
60016	60018	60016	60017
60017	60019	60017	60018
60018	60020	60018	60019
60019	60021	60019	60020
60020	60022	60020	60021
60021	60023	60021	60022
60022	60024	60022	60023
60023	60025	60023	60024
60024	60026	60024	60025
60025	60027	60025	60026
60026	60028	60026	60027
60027	60029	60027	60028
60028	60030	60028	60029
60029	60031	60029	60030
60030	60032	60030	60031
60031	60033	60031	60032
60032	60034	60032	60033
60033	60035	60033	60034
60034	60036	60034	60035
60035	60037	60035	60036
60036	60038	60036	60037
60037	60039	60037	60038
60038	60040	60038	60039
60039	60041	60039	60040
60040	60042	60040	60041
60041	60043	60041	60042
60042	60044	60042	60043
60043	60045	60043	60044
60044	60046	60044	60045
60045	60047	60045	60046
60046	60048	60046	60047
60047	60049	60047	60048
60048	60050	60048	60049
60049	60051	60049	60050
60050	60052	60050	60051
60051	60053	60051	60052
60052	60054	60052	60053
60053	60055	60053	60054
60054	60056	60054	60055
60055	60057	60055	60056
60056	60058	60056	60057
60057	60059	60057	60058
60058	60060	60058	60059
60059	60061	60059	60060
60060	60062	60060	60061
60061	60063	60061	60062
60062	60064	60062	60063
60063	60065	60063	60064
60064	60066	60064	60065
60065	60067	60065	60066
60066	60068	60066	60067
60067	60069	60067	60068
60068	60070	60068	60069
60069	60071	60069	60070
60070	60072	60070	60071
60071	60073	60071	60072
60072	60074	60072	60073
60073	60075	60073	60074
60074	60076	60074	60075
60075	60077	60075	60076
60076	60078	60076	60077
60077	60079	60077	60078
60078	60080	60078	60079
60079	60081	60079	60080
60080	60082	60080	60081
60081	60083	60081	60082
60082	60084	60082	60083
60083	60085	60083	60084
60084	60086	60084	60085
60085	60087	60085	60086
60086	60088	60086	60087
60087	60089	60087	60088
60088	60090	60088	60089
60089	60091	60089	60090
60090	60092	60090	60091
60091	60093	60091	60092
60092	60094	60092	60093
60093	60095	60093	60094
60094	60096	60094	60095
60095	60097	60095	60096
60096	60098	60096	60097
60097	60099	60097	60098
60098	60100	60098	60099
60099	60101	60099	60100
60100	60102	60100	60101
60101	60103	60101	60102
60102	60104	60102	60103
60103	60105	60103	60104
60104	60106	60104	60105
60105	60107	60105	60106
60106	60108	60106	60107
60107	60109	60107	60108
60108	60110	60108	60109
60109	60111	60109	60110
60110	60112	60110	60111
60111	60113	60111	60112
60112	60114	60112	60113
60113	60115	60113	60114
60114	60116	60114	60115
60115	60117	60115	60116
60116	60118	60116	60117
60117	60119	60117	60118
60118	60120	60118	60119
60119	60121	60119	60120
60120	60122	60120	60121
60121	60123	60121	60122
60122	60124	60122	60123
60123	60125	60123	60124
60124	60126	60124	60125
60125	60127	60125	60126
60126	60128	60126	60127
60127	60129	60127	60128
60128	60130	60128	60129
60129	60131	60129	60130
60130	60132	60130	60131
60131	60133	60131	60132
60132	60134	60132	60133
60133	60135	60133	60134
60134	60136	60134	60135
60135	60137	60135	60136
60136	60138	60136	60137
60137	60139	60137	60138
60138	60140	60138	60139
60139	60141	60139	60140
60140	60142	60140	60141
60141	60143	60141	60142
60142	60144	60142	60143
60143	60145	60143	60144
60144	60146	60144	60145
60145	60147	60145	60146
60146	60148	60146	60147
60147	60149	60147	60148
60148	60150	60148	60149
60149	60151	60149	60150
60150	60152	60150	60151
60151	60153	60151	60152
60152	60154	60152	60153
60153	60155	60153	60154
60154	60156	60154	60155
60155	60157	60155	60156
60156	60158	60156	60157
60157	60159	60157	60158
60158	60160	60158	60159
60159	60161	60159	60160
60160	60162	60160	60161
60161	60163	60161	60162
60162	60164	60162	60163
60163	60165	60163	60164
60164	60166	60164	60165
60165	60167	60165	60166
60166	60168	60166	60167
60167	60169	60167	60168
60168	60170	60168	60169
60169	60171	60169	60170
60170	60172	60170	60171
60171	60173	60171	60172
60172	60174	60172	60173
60173	60175	60173	60174
60174	60176	60174	60175
60175	60177	60175	60176
60176	60178	60176	60177
60177	60179	60177	60178
60178	60180	60178	60179
60179	60181	60179	60180
60180	60182	60180	60181
60181	60183	60181	60182
60182	60184	60182	60183
60183	60185	60183	60184
60184	60186	60184	60185
60185	60187	60185	60186
60186	60188	60186	60187
60187	60189	60187	60188
60188	60190	60188	60189
60189	60191	60189	60190
60190	60192	60190	60191
60191	60193	60191	60192
60192	60194	60192	60193
60193	60195	60193	60194
60194	60196	60194	60195
60195	60197	60195	60196
60196	60198	60196	60197
60197	60199	60197	60198
60198	60200	60198	60199
60199	60201	60199	60200
60200	60202	60200	60201
60201	60203	60201	60202
60202	60204	60202	60203
60203	60205	60203	60204
60204	60206	60204	60205
60205	60207	60205	60206
60206	60208	60206	60207
60207	60209	60207	60208
60208	60210	60208	60209
60209	60211	60209	60210
60210	60212	60210	60211
60211	60213	60211	60212
60212	60214	60212	60213
60213	60215	60213	60214
60214	60216	60214	60215
60215	60217	60215	60216
60216	60218	60216	60217
60217	60219	60217	60218
60218	60220	60218	60219
60219	60221	60219	60220
60220	60222	60220	60221
60221	60223	60221	60222
60222	60224	60222	60223
60223	60225	60223	60224
60224	60226	60224	60225
60225	60227	60225	60226
60226	60228	60226	60227
60227	60229	60227	60228
60228	60230	60228	60229
60229	60231	60229	60230
60230	60232	60230	60231
60231	60233	60231	60232
60232	60234	60232	60233
60233	60235	60233	60234
60234	60236	60234	60235
60235	60237	60235	60236
60236	60238	60236	60237
